"Required
必須","Partner
推獎","Category 
オファー類別","Length
時間","Key Stat
目標スタート","Score
目標","Text
テキスト"
天海春香,望月杏奈,ドラマ,3,Total,13500,ドラマの撮影に行ってきたんですけど、杏奈ちゃん、すごかったんですよ！元気な子と大人しい子の、一人二役していて！すっごく自然な演技で、監督さんからも褒められてました！
天海春香,ロコ(伴田路子),ファッションショー,3,Total,65000,ロコちゃんはさすがですね！ どんな衣装だって、個性的に着こなしちゃうんですから。私もロコちゃんにコーディネイトしてもらって……この写真なんですけど、似合ってますか？
天海春香,ロコ(伴田路子),ドラマ,9,Total,13500,ロコちゃんが、ドラマの小道具さんを手伝ってました！ 手先が器用で飲み込みも早いって褒められてて、うれしそうでしたよ♪ なんだか、にへーっ♪って感じになってました！
天海春香,七尾百合子,地域PRイベント,3,Vocal,3000,離島のPRで、百合子ちゃんが考えたキャッチコピーが採用されたんです！ 『恋を迎えにいく島』って。ロマンチックで素敵ですよね～。島の人たちも大絶賛してました♪
天海春香,高山紗代子,慰安訪問,9,Vocal,6000,おばあちゃんっ子だからかな、お年寄りの方々のお話を聞くと心が温かくなります。紗代子ちゃんも同じだったみたいで、思い出話に、ふたりでちょっと涙ぐんじゃいました。
天海春香,高山紗代子,スポーツイベント,9,Dance,33000,マラソン大会のサポーターをしました！紗代子ちゃん、走りながら声援を送って、また元の場所に戻って、ってことを繰り返してたんですよ。ランナーの人より走ってたかも！
天海春香,松田亜利沙,審査員,3,Dance,6000,お疲れさまです♪ 審査員のお仕事に行ってきました。亜利沙ちゃんの審査コメント、すごく詳しくてびっくり……さすがの分析力って感じです！
天海春香,松田亜利沙,グラビア撮影,3,Visual,9500,今日はひとりずつの撮影だったんですけど、私の時に長引いて最後の亜利沙ちゃんを待たせてしまいました。悪いことしちゃったかな……。えっ？ ご褒美だって喜んでたんですか？
天海春香,高坂海美,ドラマ,9,Total,85000,海美ちゃん、パティシエの役だったので、私を参考にしてくれたそうなんです。ケーキを作る練習もいっぱいしたって言ってましたよ。本当に頑張り屋さんですよね！
天海春香,中谷育,プレゼンター,6,Visual,16500,育ちゃん、進行が乱れて少し泣きそうになっちゃったんです。でも、私が手を握ったら、グッとこらえてくれました！ 年は離れてますけど、同じアイドル。戦友……なーんて♪
天海春香,中谷育,TV番組MC,3,Total,85000,こども向け教育番組に出てきました。育ちゃん、今日教えてもらった中に知ってたことがあったけど、番組のことを考えて、初めて聞くふりをしたそうなんです。すごいですよね！
天海春香,天空橋朋花,慰安訪問,3,Total,65000,病院に慰安訪問に行ってきました。朋花ちゃん、病気の子供の手を握って、優しく微笑んで……そうしたらその子、パッて表情が明るくなったんです。朋花ちゃんの不思議な力ですね！
天海春香,エミリー スチュアート,レコーディング,6,Vocal,33000,レコーディングに行ってきましたよ。ちょっと難しい曲だったんですけど、エミリーちゃんと相談して『禅』の心で乗り切りました。 深呼吸、深呼吸、すぅはぁ……♪
天海春香,エミリー スチュアート,ドラマ,3,Total,13500,エミリーちゃん、すっごく英語が上手ですよね。今日のセリフもバッチリきまってました。でも、どうしてあんなに上手なのかな……。あっ、エミリーちゃんってイギリス出身でしたね！
天海春香,北沢志保,密着取材,6,Visual,33000,密着取材、楽しかったです♪ 私の家でみんなとお菓子を作ったんですよ。志保ちゃんは、今度弟さんにも作ってあげたいって。えへへ、お役に立てたみたいでうれしいです♪
天海春香,舞浜歩,フェス,3,Dance,36000,歩ちゃんのダンス、海外のアーティストさんとも意気投合して大盛り上がりでした！英語を喋らなくてもダンスは国境を超えるんですね。私も海外に届けられるように頑張らなきゃ！
天海春香,舞浜歩,ナレーション,9,Vocal,16500,ダンサーを目指す人のドキュメンタリー番組で、ナレーションをしてきました。歩ちゃん、すっごく入り込んでたんですよ。共感して涙くんだりして、感動的なVTRになりました♪
天海春香,木下ひなた,商品プロデュース,9,Total,43500,新しいパスタソースを考えてきました！ ひなたちゃん、野菜の上手な使い方とかに詳しくって、とっても美味しいソースができたんですよ！ みんなにも食べてもらいたいです♪
天海春香,木下ひなた,バラエティ番組,3,Total,50000,子ども向けの番組で、農業のレポートをしてきました！ ひなたちゃん、農家の人にすごく熱心に質問してたんですよ。きっと番組を見てくれる子どもたちも勉強になると思います！
天海春香,矢吹可奈,グラビア撮影,6,Visual,30000,天気が良かったので、休憩中に外に出て、可奈ちゃんと歌を歌ってたんです。そしたら、その様子をカメラマンさんが撮影してて……。いい写真だからって、採用になったんです。
天海春香,矢吹可奈,TV番組MC,6,Vocal,3000,可奈ちゃん、本番前は緊張してたんですけど、いざ始まると歌で出演者さん紹介したり、トークでおっきなリアクションしたりして、しっかり盛り上げてたんですよ。良いMCでした♪
天海春香,横山奈緒,バラエティ番組,3,Total,43500,家族紹介の番組に出たんですけど、奈緒ちゃんのお兄さんてサッカー選手なんですよね！私もサッカーが得意になれば転ばなくなるかな？今度奈緒ちゃんに聞いてみます！
天海春香,横山奈緒,ゲームイベント,6,Dance,6000,競馬のゲームをしてきました。馬の人形に乗って遊ぶんですけど、ずっと体を動かしてないといけないからすごく疲れるんです。でも奈緒ちゃんは何回も遊んでて、すごかったです！
天海春香,二階堂千鶴,スポーツ番組,6,Dance,22000,千鶴さんのスキーウェア姿が素敵でした。でも、私達と同じレンタルだったみたいで……どうしてだろう？ もしかして、みんなに合わせてくれたのかな？ 気遣いも素敵ですよね♪
天海春香,馬場このみ,ネット番組,9,Vocal,32000,ちょっとマイクの使い方がわからなくて、私の音声が入ってなかったみたいでピンチでした……！ でも、このみさんがすぐに気づいて直してくれたんですよ。頼りになるなぁ～♪
天海春香,馬場このみ,サイン会,6,Dance,3000,張り切ってサインを書いてたら、途中で腕が痛くなってきたんです。でも、このみさんがマッサージをしてくれたおかげで、最後までできました♪ 私もやり方教えてもらおうかな？
天海春香,大神環,CM撮影,9,Dance,9000,環、撮影中も休憩中も、ずーっとはしゃいでたんですよ。 ほんとに元気だなって思ってたんですけど、帰りの電車ではウトウトしちゃって……寝顔が、すっごくかわいかったです♪
天海春香,大神環,CM撮影,6,Dance,22000,CM撮影でスタッフさんがお子さんを連れてきてたんです。環と仲良くなって、ずっと遊んでたんですよ。帰りはふたりとも寂しそうだったんですけど……また会えるといいですよね！
天海春香,豊川風花,音楽番組,9,Vocal,16500,今日の番組で、夜会風のドレスを着せてもらったんですけど、風花さん、とっても似合ってました！ でも、同じ衣装なのに私は……。 いつか風花さんみたいなレディになりたいです！
天海春香,宮尾美也,商品PRイベント,6,Visual,9500,新作ボードゲームのPRに、美也ちゃんがサンドイッチを持ってきたんです。「これなら手が汚れないから、食事の時間もじっくり遊べますよ～」って。面白い発想ですよね！
天海春香,宮尾美也,ゲームイベント,6,Total,38500,新作レースゲームのPRでした！ 私は美也ちゃんと対戦したんですけごど、途中からふたりことも逆走してたみたいで、最後はスタッフさんに助けてもらっちゃいました。えへヘ～……。
天海春香,福田のり子,映画,6,Dance,16500,二人乗りのバイクで走るシーン、とっても楽しかったです！ のり子ちゃん、運転上手だったなぁ。 今度は撮影以外で、後ろの席に乗せてもらっちゃおうっと！ えへへ♪
天海春香,真壁瑞希,一日店長,3,Total,42000,ボードゲームのお店で働きました！ みんなでゲームをしたんですけど、瑞希ちゃん、連勝したんですよ！ 私はぜんぜんダメで。表情で、引いたカードが分かっちゃうそうなんです。
天海春香,真壁瑞希,映画,3,Total,23500,ミステリー映画に出演してきました！瑞希ちゃんが刑事役だったんですけど、淡々と理詰めで犯人を追い込んるでいくんですよ。クールで格好良くて、新しいシリーズになるかも！
天海春香,篠宮可憐,ライブ,9,Vocal,36000,今日のライブは、可憐ちゃんと二人で歌う箇所があって。頑張って練習したかいあって成功しました！ 終わった頃の、ホッとした可憐ちゃんの笑顔、かわいかったなぁ♪
天海春香,篠宮可憐,ファッションショー,9,Visual,3000,今日のファッションショーのお仕事、すごくうまくいった気がします♪ こういうのは気持ちが大切だからって、可憐ちゃんが大人っぽい香水をつけてくれたおかげかも♪
天海春香,百瀬莉緒,CDショップイベント,3,Total,13500,莉緒さんが、高校時代に友達と聴いてたCDの話をしてくれたんです。高校時代の莉緒さんって、どんな感じだったのかな～……？ そのころの莉緒さんと、お話してみたいです！
天海春香,永吉昴,PV撮影,9,Visual,22000,昴ちゃんがリボンしてるの気づきました？ ＰＶ撮影の衣装に合わせるのにたくさん持って行ったら、気に入ったのがあったみたいで、ひとつあげたんです。かわいいですよね～！
天海春香,永吉昴,プレゼンター,9,Dance,16500,少年野球の優勝チームの表彰式でした！ 昴ちゃんは実際に試合も観に行っていたみたいで、すっごく場を盛り上げてくれたんですよ。今度私も連れてってもらおうかな♪
天海春香,北上麗花,TV番組MC,3,Dance,9000,麗花さんが、出演者の人達にニックネームをつけたんです。失礼かなって思ったんですけど、みなさん楽しんでくれて盛り上がりました。それに面白い名前ばっかりで……ふふっ♪
天海春香,周防桃子,ネット番組,6,Total,31000,クッキング生配信っていう番組でした！ 私がホットケーキを作って、それに桃子ちゃんがデコレーションをしたんです。夢中でクリームを絞ってて、すっごく可愛かったですよ♪
天海春香,周防桃子,ネット番組,6,Vocal,28000,番組の企画で、桃子ちゃんが演技講座をしたんです。可愛い先生だなってほっこりしちゃったんですけど、そしたら「ちゃんと聞いてるの？」って、注意されちゃいました。えへへっ♪
天海春香,ジュリア,ロケ番組,3,Dance,9500,ロケでお化け屋敷に行ったんです。うう、怖かった……。でもジュリアちゃんは全然怖くなかったって言ってたんですよ。 本当かなぁ？ すごく大きな声で叫んでましたけど……。
天海春香,ジュリア,商品PRイベント,3,Visual,33000,PRで風船を配ってたら、ジュリアちゃんが子どもに囲まれたんです。星のマークで、ピエロだと思われたみたいで。ジュリアちゃん、困ってましたけどちょっと嬉しそうでした。
天海春香,白石紬,ナレーション,3,Vocal,22000,ナレーションのお仕事、行ってきましたっ！ 和服を紹介する番組なので、紬ちゃん、張り切ってたんですよ♪ ウキウキしてて、すっごくかわいかったです！
天海春香,白石紬,ドラマ,9,Visual,7000,サスペンスドラマに出ました！ 紬ちゃんがすごかったんですよ♪ 科学捜査官役で難しい用語がいっぱいあったのに、しっかり台本覚えてきてて。すっごくかっこ良かったです！
天海春香,桜守歌織,レコーディング,9,Vocal,3000,歌織さん、本当に歌が上手いですよね。あんなにすごい人が、同じ事務所の後輩だなんて……ふふふっ、心強いです。 765プロの先輩として、私も負けられないですね！
天海春香,桜守歌織,スポーツイベント,9,Dance,9000,カーレースの応援サポーターのお仕事をしてきました！レースカーでスピード体験もさせてもらって楽しかったです！歌織さんは、自分で運転したかったみたいですけど……。
天海春香,PERFECT,,,,,お仕事大成功でした！　前にもらったPさんのアドバイスを思い出したら、すっごくうまく出来たんです。えへへっ♪
天海春香,GOOD,,,,,お仕事、うまくいきましたね！みんなに喜んでもらえて、とってもうれしいですっ♪
天海春香,NORMAL,,,,,お仕事お疲れさまでした、Pさん。次も頑張りますから、よろしくお願いします！
如月千早,天海春香,慰安訪問,3,Visual,36000,児童養護施設に、慰安訪問に行ってきました。子供たちの元気な姿を見ると、生きる活力が湧いてきますね。そうだ……春香ったら、いたずらっ子にリボンを取られて大慌てで。ふふっ！
如月千早,天海春香,PR,3,Visual,6000,歌番組で、新人の子が歌の途中でつまってしまったんです。でも春香が「大丈夫！」って声をかけて、無事に持ち直しましだた。……声はマイクにも拾われたみたいですけれど。ふふっ。
如月千早,星井美希,レポーター,9,Vocal,9500,はぁ……。生放送の食レポなのに、美希は食べてばかりで、必死に話す私は空回りでした。でも、美希が私に一口食べさせてくれたカットが、妙に好評で。……良かったのでしょうか？
如月千早,星井美希,ロケ番組,6,Dance,34000,里山でロケをしました。 休憩中に美希がお昼寝をしていたら頭に珍しい蝶々がとまったんです。それで「いい画が撮れた」と言われていて。寝ていても、しっかり成果を出すんですね。
如月千早,萩原雪歩,ファッションショー,3,Visual,9000,スタッフが、萩原さんのことを心配していたんです。とても緊張しているからと。なので、大丈夫ですと伝えました。いざと言う時は、萩原さんは覚悟を決めて挑みますから。
如月千早,萩原雪歩,スポーツイベント,3,Dance,7000,今日のマラソンのイベント、とても感動しました。萩原さんが遅くなってしまったのですが、最後まで諦めずに走っていて。ゴール直前の声援は他の誰が受けたものより大きかったです。
如月千早,高槻やよい,ドラマ,3,Total,78000,ドラマの撮影をしてきました。 私も、高槻さんのように自然体で挑めればいいのですが、どうも、まだ歌以外は……。日々、精進です。
如月千早,高槻やよい,音楽番組,3,Vocal,22000,番組で、好きな音楽を紹介したのですが、高槻さんは、どのジャンルにも興味を持って、たくさん質問してくれました。楽しい収録でしたし、新しい気づきも得られたかと。
如月千早,菊地真,サイン会,9,Visual,33000,真がサインの横に、可愛らしいクマのイラストを描いていました。ファンの方も喜んでいて。サインにもいろいろと工夫の余地があるのだと、学べました。
如月千早,菊地真,フェス,3,Vocal,3000,……ふぅ。今日はいつもより思い切り歌えた気がします。真の歌はとても力強くて、周りを巻き込むパワーがあるので、私もそれに引っ張られたのではないかと。
如月千早,水瀬伊織,旅番組,9,Visual,33000,南の島で、旅番組でした。とても高級感のあるホテルで気後れしたのですが、水瀬さんは場慣れしているみたいで心強くて。海外での振る舞い、学ぶことが多かったですね。
如月千早,四条貴音,CDショップイベント,3,Total,80000,CDショップでのミニライブ、落ち着いた選曲が中心でした。 四条さんの声が際立っていて……。 とても声を合わせやすかったです。小規模ながら会心のステージでした。
如月千早,四条貴音,旅番組,3,Total,75000,京都を旅してきました。番組の企画で私が写真を撮ったのですが、京都に住んでいた四条さんが、お気に入りの場所を案内してくれて。あまり紹介されないような所も巡れたかと。
如月千早,秋月律子,TV番組MC,6,Visual,4500,MCは苦手で……、何度も律子に助けてもらいました。それで、お礼を言ったところ、「みんなのお仕事なんだから、苦手なところは補い合わないとね」と……。次は私が！
如月千早,秋月律子,ラジオ,9,Vocal,28000,今回のラジオのお仕事、律子と積もる話をたくさんしてしまいました。あ、アーカイブは聴かないでいただけると。……べ、別に、Pのお話はしていないですから！
如月千早,三浦あずさ,商品プロデュース,3,Total,20000,料理本のプロデュースでした。あずささん、お味噌汁には自信があるそうで、その場で披露してレシピが採用になりました。私もいただいたのですが、とても美味しかったです。
如月千早,三浦あずさ,地域PRイベント,3,Total,85000,PRのために、前もって地域の魅力を探そうと、あずささんと下見に行きました。おかげで本番は上手くできたかと。下見の時は、道に迷って大変でしたが……。
如月千早,双海亜美,ライブ,6,Total,80000,亜美、また歌もダンスもうまくなっていましたね。本人は楽しく遊んでるだけ、なんて言ってましたけれど。 人前で思い切り楽しめるのも、立派な才能と思います。
如月千早,双海亜美,レポーター,6,Dance,3000,最新のVR機材を体験レポートしてきました。亜美は仮想空間で理想のボディスタイルになって、満足していたようです。……ふふっ♪ VRって、夢のある技術ですね。
如月千早,双海真美,レコーディング,9,Vocal,9000,スタッフさんに見慣れない方がいて……。でも、真美がすぐに仲良くなってくれたお陰で、スムーズにレコーディングできたかと。助かりました。私はそういうのは苦手なので……。
如月千早,双海真美,トーク番組,9,Total,33500,私はトークが苦手なので、自分からたくさん話してくれる真美は今日、とても頼りになりました。その……時々、無茶ブリをしてくるのは、困りましたが……。
如月千早,我那覇響,グルメ番組,3,Total,23500,我那覇さん、食べ放題のお店でずいぶん頑張って食べていました。無茶に見えましたが……でも、彼女にとって負けられない戦いだそうで。いつでも真剣勝負なんですね。ふふ。
如月千早,春日未来,商品プロデュース,9,Total,81000,斬新なおもちゃのプロデュース。私はあまりアイディアが浮かばなかったのですが、未来はたくさん案を出してくれて。おかげで、『押さずにはいられない謎ボタン』が出来ました。
如月千早,春日未来,ナレーション,9,Vocal,30000,番組のナレーションをしたのですが、未来がずっとそわそわしていました。きっと声を上げそうになるのを抑えていたのかと。映像、クリームを使ったスイーツでいっぱいでしたから。
如月千早,最上静香,スポーツイベント,3,Dance,28000,テニス用品メーカーのイベントのお仕事でした。 静香はテニスが好きだそうで、目を輝かせていて。 今度、私にも教えてくれるそうです。
如月千早,最上静香,フェス,9,Visual,9000,希望通り、セットリストに静香とのデュエットを入れていただけました。静香、前よりももっとうまくなっていて……私も油断できませんね。会場の熱も高められたかと。
如月千早,伊吹翼,スポーツ番組,9,Dance,9500,番組でテニスに挑戦してきました。伊吹さんはあまり乗り気ではなかったようですが、ときおり鋭いショットを見せていましたね。ただ、スコートの短さにはこだわったそうです。
如月千早,田中琴葉,雑誌取材,3,Total,55000,お家時間の過ごし方、というテーマで取材を受けました。琴葉さんは、お風呂の時間がとても好きなのだとか、お気に入りの入浴剤を分けてもらったので、今夜早速使ってみます。
如月千早,田中琴葉,グルメ番組,9,Dance,9000,食レポがうまくできるか不安だったので、琴葉さんと相談してたくさんほおばって、美味しそうに食べることにしました。そうしたら、カキ氷の食レポで頭が痛くなってしまい……。
如月千早,島原エレナ,地域PRイベント,6,Dance,16500,ブラジルと縁のある町だそうで、エレナが張り切ってました。 町に伝わるブラジル民謡が、とても興味深かったです。 エレナの歌声を参考に、私も精一杯歌わせてもらいました。
如月千早,島原エレナ,旅番組,6,Dance,9500,旅先で、エレナがいろんなものに興味を持って引っ張るので大変でした。なんだが振り回されてしまって。でもお陰で、にぎやかで楽しい番組になったのではないかと。ふふっ……。
如月千早,佐竹美奈子,ロケ番組,9,Dance,22000,佐竹さん、独特の視点で街歩きをしているんだと感心しました。なにを見ても料理のアイディアに結びつくみたいで。生活を豊かにする知恵を、沢山持っている人なんですね。
如月千早,佐竹美奈子,グルメ番組,9,Dance,33000,番組で佐竹さんが作った料理をいただきました。味は良かったですけど、量がちょっと……。でも、できるだけ食べました。あんなに期待した目で見られたら、頑張らないとって……。
如月千早,所恵美,ラジオ,3,Vocal,32000,今日のラジオ、所さんにとても助けられました。 笑いを交えて、的確に司会進行してくれて。 ギャルっぽくて愛される喋り方、奥が深いです。
如月千早,徳川まつり,CDショップイベント,9,Vocal,9000,CD店のイベント、無事終了しました。帰りに徳川さんにお勧めの音楽を聞いたら、これを勧められて。トイピアノのコンピレーションです。わんだほー……な、趣があるかと。
如月千早,徳川まつり,CDショップイベント,9,Dance,7000,イベント中に徳川さんが、「道を開けてほしいのです」と言って、急に客席に降りたんです。どうしたのかと思ったら、具合が悪くなった人がいて助けてました。すごいですよね。
如月千早,箱崎星梨花,旅番組,3,Vocal,5000,旅番組のお仕事で、小旅行をしてきました。 箱崎さんはトロッコ列車に乗って、ずいぶん喜んでいて。私も、なんだか癒されました。
如月千早,箱崎星梨花,フェス,3,Total,20000,出演が終わった後、箱崎さんが楽屋のテントで寝入ってしまったんです。緊張の糸が切れたみたいで。彼女の寝顔を見ていると、何だか暖かい気持ちを感じました……ふふっ。
如月千早,野々原茜,一日店長,3,Total,23500,野々原さん、「茜ちゃんは社長に就任した！」と言って、社長の席に座ってたんです。自由な人だと感心してしまいました。本物の社長がいたことは、知らなかったみたいですが……。
如月千早,野々原茜,商品プロデュース,6,Total,23500,野々原さんが『千早ちゃん式ボイスレッスンDVD』という商品を提案していました。劇場の中にも欲しがる人が多いから大ヒットまちがいなしと……。そうでしょうか？
